TransMorphBSplineDWinFull_ncc_1_diffusion_1
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,NDV,all_jac
p_20,0.9700187869877075,0.7938569492882476,0.6337525100159079,0.713970181726967,0.08008213470141545,0.7951038654394242,0.851804984797193,0.8359304217992706,0.7331136727991301,0.8143502983707523,0.7630257906127302,0.6679718063117783,0.7360710305525616,0.8959796203507658,0.7590671101769947,0.7690235664342641,0.6077116487522563,0.49169434807562834,0.8250398838980173,0.4047618565759694,0.1046676081376576,0.7963661526749021,0.634952563243049,0.7318808353847037,0.5690200180768176,0.7884212312954111,0.8406627208298393,0.8773847577202306,0.7512716165421267,0.7861793424192222,0.7710314543324224,0.7735007727968871,0.7693463541964779,0.6284953353628806,0.8369638947486516,0.10714283801020749,0.3344425928914926,0.0,0.0,0.0,0.19954648073590747,0.0,0.0,0.0,0.0,0.0,1.2614641677365248e-06,0.00010503508171729356
p_21,0.9745726168683514,0.8142123046456742,0.6616269302732202,0.8803272876718335,0.5368663563544565,0.7966037255616262,0.826406658958616,0.8789386396909701,0.8470588226151551,0.8411694026101967,0.8161576338597879,0.7539341890059578,0.7546365364428981,0.8979935928345989,0.8257257696956447,0.7926972885962977,0.6848874570543108,0.6396255800341218,0.85029320382003,0.2089551926932548,0.4122287948114951,0.8119810780875072,0.6707404991479489,0.8701480664709554,0.601873532775916,0.7821120301252178,0.8490847880224226,0.8782193954010497,0.8507985114298857,0.8276643984226884,0.8213670288696784,0.842799366236329,0.7957917431999143,0.6867924476468494,0.8573893530692871,0.25974022600776286,0.49882352706435984,0.0,0.0009551098330701535,0.0,0.7398989805568311,0.0,0.0,0.0,0.0,0.0,4.031264841364268e-06,0.00013504510506509175
p_22,0.9677571883789494,0.7626135011705851,0.6401415078213547,0.6713884801073177,0.23347107196827405,0.7871496288161712,0.8340353399916508,0.8021271672591319,0.7146276921826538,0.7172319748446975,0.6268966937707406,0.5278504653164469,0.6611039780464185,0.8602853435606942,0.7760052236439918,0.7255200387480465,0.5122739001541541,0.6440452385625732,0.7522648651356738,0.0,0.09446253917813455,0.7889679913325032,0.6577962310388703,0.5920937965680949,0.22583139809875175,0.7080982958819318,0.7806562103893901,0.8570416113915958,0.7023502232001764,0.7360385024180247,0.6897455076913445,0.7533899039861868,0.7804768313529536,0.5862815842145734,0.7268092099286109,0.28799997696000185,0.18848167341904007,0.0,0.0,0.0,0.44299673545607926,0.0,0.0,0.0,0.0,0.0,5.121667976152928e-06,0.00021007016343458713
p_23,0.9742622425185498,0.7983205453264841,0.658879215005516,0.8685278202914761,0.3946101983194399,0.761471491406722,0.8410892184457909,0.8337058788617218,0.8419231234187083,0.8406598462439777,0.752836483308484,0.7398953840233219,0.8124082984439147,0.8956397288625818,0.8172750415775945,0.7976593754306763,0.6727012831219567,0.6258389209241702,0.8319544026181702,0.6666665811965922,0.31674207786490866,0.8013017834769285,0.6583350598407121,0.8739679073199523,0.5632653022907123,0.7147236968232697,0.82628948577924,0.8882708976016844,0.8652291094520594,0.8182937214105731,0.7583120188441773,0.8271872731874939,0.8175221692622354,0.5971786787054962,0.8381948258684693,0.44262291453910535,0.4424489759800084,0.0,0.001798561134905026,0.0,0.5259740174354868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_24,0.9695839145180767,0.8001457235792364,0.6341551218929354,0.8740506569744205,0.4856348425798439,0.8014699785025364,0.8423490348949612,0.8546412024271042,0.819460389179879,0.820171264681093,0.7768005686313274,0.8024844695575016,0.7680035436117804,0.9034301397578689,0.8343632855492217,0.7775442786624308,0.7723512122435249,0.5894495345246613,0.8390166526179454,0.39344255845203957,0.4195121930755502,0.7941961702792718,0.641374695929793,0.8664515269588208,0.4616755752078826,0.8328374589581334,0.8596282223292405,0.8599912214809761,0.8063446275323077,0.8063583806705632,0.7665156194454672,0.8466719484482251,0.7916549174185088,0.6349848267443395,0.8063209068007284,0.16666663194445167,0.5187930094293647,0.0,0.0,0.0,0.5767045372627196,0.0,0.0,0.0,0.0,0.0,2.2567689634876785e-05,0.00030010023347798166
p_25,0.9718022727760076,0.8027543851026461,0.6402140923212288,0.8812065281725754,0.33851783770797955,0.8010209505474261,0.8509706192248713,0.835809181660514,0.8397297673713817,0.8098271147408481,0.7156325351553771,0.7938877015142582,0.7814207635023014,0.9062638388515042,0.82152821454277,0.781124496031314,0.6949602091292651,0.6053639788758239,0.8089633736851866,0.15094336774653438,0.25347222002194253,0.8040160977692672,0.6489119916017867,0.8728704730447434,0.48982557783556996,0.7962327914128937,0.8343366552772096,0.8668366103017501,0.8008849547099364,0.7736625506443802,0.6465554115392482,0.8129343085213246,0.821671655808136,0.6850921215653927,0.7881103235295283,0.0,0.33718558574312996,0.0,0.005486968374664357,0.0,0.3688888806913582,0.0,0.0,0.0,0.0,0.0,3.425669402830002e-05,0.00015005011673899083
p_26,0.9744679253130184,0.7901698495815274,0.6619518687627332,0.6411160995500994,0.1903846135539941,0.7699942352515114,0.8258578516440103,0.8625817960831854,0.7231692668389325,0.8095316075912777,0.7326132258241175,0.5209981709008024,0.6488942724965335,0.8864517728901355,0.7533326215705102,0.7684931480531056,0.592077084624855,0.5508474529589199,0.7366567970419646,0.07272725950413463,0.1281249979980469,0.7878591402068108,0.6576875889014853,0.7364574021469525,0.46419752704364176,0.7431368162919836,0.8291652711806246,0.8794600869173756,0.7593236590006912,0.7786965406075429,0.7146697374910336,0.7782755974447868,0.8194993385391984,0.6182432380215943,0.7245945045311201,0.0,0.2396313336448003,0.0,0.0,0.0,0.22784809645890092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_27,0.9686397925095499,0.7891783675425124,0.618246780267003,0.9045513754974635,0.6149553537111867,0.8150050771115808,0.8501188000556789,0.8044992572773214,0.7939192797410135,0.8056357148144324,0.7673611094458309,0.8522079177901126,0.7803627023624058,0.9141103240943586,0.8267446542691159,0.7734138946847469,0.6949981169800747,0.5945437385273402,0.8424099865728153,0.41095884781385644,0.4334251587078734,0.7842710633781558,0.6233151316912702,0.8928520120481761,0.6633057232145995,0.7760471795626652,0.8077020236893577,0.8613388808827935,0.7641884808751953,0.8427181084091779,0.7735629490957344,0.8168345042591351,0.8075942170371373,0.7446808449698785,0.8576079499163743,0.2592592112482942,0.4507718680934069,0.0,0.005915409624621681,0.0,0.6231690995583342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_28,0.9751170065490566,0.7867929611476612,0.6715976592917237,0.7208662135432397,0.3435948327349073,0.7828442198425254,0.8162480470520196,0.8169200260518742,0.6719907399629736,0.7702285355387365,0.7536338532591834,0.5983175573169424,0.6616454210265196,0.8982022299745501,0.772349172222632,0.7758337868347901,0.5994623629056345,0.6056129940501256,0.8245811988329301,0.044444434567903424,0.2332317055393925,0.7944429115923453,0.6770288579925536,0.743167965958996,0.22879177083815205,0.7479972656874921,0.8359113961750473,0.8766250713326241,0.7154720271902623,0.7575733220107889,0.7675655828883405,0.7854633061083593,0.7629187204286711,0.5839138658396842,0.8282810576237244,0.1276595473064793,0.37972972716398834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_29,0.9713299841444212,0.8008060170431499,0.6322962268388536,0.755565037511155,0.23165137349023654,0.7980632969300747,0.854414232447821,0.8568207436211839,0.8160484469098435,0.8014542508569438,0.6144174337501731,0.7730250451906548,0.772683673944593,0.9003542274910897,0.7741537187219326,0.7685316649573085,0.6840336105712873,0.6218181761652893,0.8347064874401764,0.19354835587929742,0.05599999925333334,0.8062395876586865,0.6340842485322007,0.8122968927516594,0.31668237213305966,0.8419243075184669,0.8780539893446343,0.8623558432139791,0.7899334974704219,0.8367952514495594,0.7675044866079344,0.7958631347420616,0.7907514432583782,0.6367634068886244,0.8283179676219187,0.34482755648038305,0.18490245814332096,0.0,0.0032206118644023856,0.0,0.3854961758493096,0.0,0.0,0.0,0.0,0.0,4.10500211594175e-06,3.0010023347798164e-05
